Year DOY   SOD           (X)           (Y)           (Z)       (DT)    (TH)    (TW)    (TT)   (SDE)
2017 191  3000   4208830.340   2334850.671   4171267.435      7.499   2.282   0.107   2.389  12.514
2017 191  3030   4208830.340   2334850.672   4171267.435      7.695   2.282   0.107   2.389  12.522
2017 191  3060   4208830.340   2334850.672   4171267.435      7.493   2.282   0.107   2.389  12.527
2017 191  3090   4208830.339   2334850.672   4171267.435      7.685   2.282   0.107   2.389  12.529
2017 191  3120   4208830.339   2334850.673   4171267.434      7.578   2.282   0.107   2.389  12.529
2017 191  3150   4208830.338   2334850.673   4171267.434      7.791   2.282   0.107   2.389  12.528
2017 191  3180   4208830.337   2334850.673   4171267.433      7.566   2.282   0.107   2.389  12.525
2017 191  3210   4208830.336   2334850.673   4171267.433      7.199   2.282   0.107   2.389  12.522
2017 191  3240   4208830.281   2334850.642   4171267.398      7.055   2.282   0.110   2.393  12.510
2017 191  3270   4208830.280   2334850.643   4171267.398      7.228   2.282   0.110   2.393  12.508
2017 191  3300   4208830.280   2334850.643   4171267.397      7.204   2.282   0.110   2.393  12.508
2017 191  3330   4208830.280   2334850.644   4171267.397      7.041   2.282   0.110   2.393  12.507
2017 191  3360   4208830.279   2334850.645   4171267.397      7.099   2.282   0.110   2.393  12.509
2017 191  3390   4208830.273   2334850.641   4171267.393      7.112   2.282   0.111   2.393  12.509
2017 191  3420   4208830.194   2334850.590   4171267.347      6.918   2.282   0.116   2.398  12.497
2017 191  3450   4208830.031   2334850.487   4171267.251      6.599   2.282   0.127   2.409  12.469
2017 191  3480   4208829.791   2334850.350   4171267.104      6.167   2.282   0.143   2.425  12.430
2017 191  3510   4208829.567   2334850.245   4171266.956      5.864   2.282   0.156   2.439  12.397
2017 191  3540   4208829.567   2334850.246   4171266.956      5.930   2.282   0.156   2.439  12.399
2017 191  3570   4208829.567   2334850.247   4171266.955      5.933   2.282   0.156   2.439  12.401
2017 191  3600   4208829.567   2334850.247   4171266.955      6.391   2.282   0.156   2.439  12.403
2017 191  3630   4208829.588   2334850.239   4171266.973      6.336   2.282   0.156   2.438  12.404
2017 191  3660   4208829.658   2334850.163   4171267.036      7.002   2.282   0.158   2.440  12.398
2017 191  3690   4208829.629   2334850.125   4171267.032      6.336   2.282   0.160   2.442  12.387
2017 191  3720   4208829.643   2334850.110   4171267.063      6.399   2.282   0.160   2.443  12.381
2017 191  3750   4208829.643   2334850.111   4171267.063      6.373   2.282   0.160   2.443  12.376
2017 191  3780   4208829.643   2334850.112   4171267.063      6.245   2.282   0.160   2.443  12.372
2017 191  3810   4208829.643   2334850.113   4171267.063      6.129   2.282   0.160   2.443  12.370
2017 191  3840   4208829.643   2334850.114   4171267.063      5.817   2.282   0.160   2.443  12.370
2017 191  3870   4208829.643   2334850.115   4171267.063      5.896   2.282   0.160   2.443  12.371
2017 191  3900   4208829.650   2334850.060   4171267.113      6.164   2.282   0.163   2.445  12.363
2017 191  3930   4208829.650   2334850.061   4171267.112      6.209   2.282   0.163   2.445  12.365
2017 191  3960   4208829.650   2334850.061   4171267.112      6.299   2.282   0.162   2.445  12.368
2017 191  3990   4208829.649   2334850.062   4171267.112      6.406   2.282   0.162   2.445  12.373
2017 191  4020   4208829.644   2334850.057   4171267.110      6.671   2.282   0.163   2.445  12.377
2017 191  4050   4208829.635   2334850.044   4171267.108      6.505   2.282   0.165   2.447  12.379
2017 191  4080   4208829.594   2334850.180   4171267.288      6.862   2.282   0.176   2.458  12.387
2017 191  4110   4208829.663   2334850.215   4171267.303      6.862   2.282   0.174   2.456  12.408
2017 191  4140   4208829.756   2334850.291   4171267.332      7.220   2.282   0.166   2.448  12.424
2017 191  4170   4208829.813   2334850.327   4171267.346      7.098   2.282   0.162   2.445  12.429
2017 191  4200   4208829.865   2334850.358   4171267.363      7.389   2.282   0.159   2.441  12.430
2017 191  4230   4208829.915   2334850.396   4171267.379      7.230   2.282   0.155   2.437  12.433
2017 191  4260   4208829.919   2334850.406   4171267.386      6.957   2.282   0.153   2.436  12.432
2017 191  4290   4208829.938   2334850.425   4171267.392      6.966   2.282   0.151   2.433  12.438
2017 191  4320   4208829.947   2334850.435   4171267.394      6.888   2.282   0.150   2.432  12.446
2017 191  4350   4208829.956   2334850.437   4171267.397      7.095   2.282   0.149   2.431  12.453
2017 191  4380   4208829.963   2334850.440   4171267.399      7.270   2.282   0.148   2.431  12.461
2017 191  4410   4208829.975   2334850.446   4171267.404      7.386   2.282   0.148   2.430  12.468
2017 191  4440   4208829.983   2334850.451   4171267.407      7.505   2.282   0.147   2.429  12.471
2017 191  4470   4208830.000   2334850.467   4171267.415      7.480   2.282   0.145   2.428  12.475
2017 191  4500   4208830.014   2334850.479   4171267.422      7.480   2.282   0.144   2.426  12.479
2017 191  4530   4208830.018   2334850.485   4171267.424      7.522   2.282   0.144   2.426  12.481
2017 191  4560   4208830.025   2334850.494   4171267.426      7.217   2.282   0.144   2.426  12.485
